Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
mutation                              ,   30 ,      3.64 ,     232 ,      614 ,"11063735,11841538,12373648,15941723,20031617,20940358,21062920,22781308,9887343,29959233,28366030,25209663,1417830,15265369,1674640,1900003,1928099,2018041,7733935,8104867,12111463,1959619,26929434,24417559,24456990,24800637,20801516,28139165,18614564,34311469,22577081,11454754,12060739,16135753,18695251,29215095,28433741,26706854,25105228,15846561,18728160,19956411,20396904,22577225,22715480,24167467,35417297,8643671,31969185,31845906,32277752,28988713,32347797,18385377,18057103,22121204,18498429,27760456,26836061,15666299,9467018,18322277,25954033,15456894,25815730,26685160,31217244,32694517,33208942,21636789,23675506,15146458,26112988,31608791,32269123,19188438,27355534,34656743,28002843,33574092,32112990,26158506,17473173,19102727,12226107,30270045,25765647,33729478,33284322,33495278,10364329,9832504,24794231,12082633,10391242,10781099,15983050,16027166,18440095,18524908,21752865,22170863,24026677,26792178,30890756,34416235,18973346,12221279,21852956,14557581,21339484,17509612,20095964,24001019,28393127,30235249,30384889,31904168,28768491,10944442,11181577,12616398,15975579,19107570,19364667,9463323,23073781,34849584,34040028,10848969,33888601,30305605,33731672,22930593,28632987,1459448,3521891,27053151,27761515,32333447,29235198,26072516,32543048,28934368,31819004,33228777,21464306,16234850,24718052,26511319,26605136,10029606,10577279,12393718,1570328,16446107,18760763,19731322,21252495,21309041,21653323,32499479,8107717,9858242,23348515,26300302,12031592,1577484,7592562,22293958,35911972,21600186,35637209,21602352,11991638,21816274,9528767,27177187,28811544,22570411,20410308,10629049,10675337,10779346,14532282,20200153,23000143,28302723,28584052,21909281,9087427,25281006,32522152,26522729,23001565,7559470,18627462,17082187,12032361,28555368,24736735,32098812,15452137,19665599,23315540,25838379,21850687,25906064,33889951,15706081,18271751,9888818,20176891,31654781,18067580,32882370,19546244,2852136,3062365,16215987,19338753,15003625,17513484,24163315,26689807,27911326,10478845,23508108,9430642,10381882,16148126,19039140"
stress                                ,   27 ,      4.73 ,     201 ,      466 ,"9887343,30935896,12111463,31995605,28877183,30340410,18695251,28293639,33963285,18180367,21049064,24965446,25116916,25096996,31191638,31552903,31823891,19188438,33726573,19206110,16239143,21933836,32294980,20536739,33600051,27189267,30655546,22837305,10781099,30459560,30409805,31506724,31206022,32918239,31408947,29540307,26934888,31888678,20883646,20003521,33888601,28356383,31234227,31635106,28315483,23076791,31168311,19114004,20074381,26360774,30918062,26395408,25693797,35158652,21498770,32195236,29375488,32269553,33780465,28765283,22783226,32039234,19772651,32735576,23073011,19170760,25418729,28324005,24658151,32471444,28265575,26305539,21909281,32479599,16139798,15998247,9401119,33610896,24140707,29433420,25555378,19627569,26150808,22288420,17449658,20003296,28367141,30356767,18065650,28555368,11452028,26195524,25318674,26465331,31671511,26503705,23267362,33688012,32041176,25545414,20547565,31133003,31935846,28036352,24616729,29034959,27228164,29890774,19862763,35817801,26861137,17289661,35614067,34110282,25741220,28367977,34238312,18052930,28391978,35809345,34029576,34130124,32185676,25793542,18226547,11904290,17141802,23618867,15680912,12059788,12853451,19812042,21969592,17163455,16284092,20919932,27239855,30655626,27082744,26715182,28953965,27238969,18024958,28529127,27393003,21562855,20807727,28231391,17556052,19064914,20649472,25204677,25808059,21526488,21871553,17913528,33889951,23124252,15225554,22313238,16102003,16134099,15163410,15210711,15706081,18271751,19106090,24424024,12084836,12529539,20176891,31654781,14630923,11741925,32882370,11278418,20492553,21173025,21383540,32605139,28068390,32420127,32435206,31031728,23604074,22163185,33841819,22834699,31906144,19025623,20496099,25663750,29879216,25410248,33271965,30654474,34976870,35265054,29202712,23508108,12709428"
disease                               ,   34 ,      4.9  ,     272 ,      441 ,"12373648,15941723,21062920,22781308,28350824,26962295,30111112,32325910,30259138,29959233,35563075,25209663,12611891,1928099,2018041,8104867,12111463,1712754,1996112,24800637,20801516,28139165,18366691,33403290,18614564,26298201,16135753,24312579,29215095,28293639,29849043,35303522,22577225,25293953,34791963,35644505,34559577,31845906,32277752,28988713,27957775,33495500,27660103,15666299,25815730,33686586,31217244,31793855,12807913,15060138,17557114,9353121,32231671,18306214,27404450,29525604,32873862,31938151,25825233,31823891,15210948,23200852,10728394,27355534,31576248,33574092,34573275,33850810,26158506,25627686,25783682,17081065,30733281,26191006,24284412,26571461,21933836,26030138,28712728,19144721,33729478,28436273,34324523,32468006,23793017,33284322,33495278,32034402,33771997,24360279,28241067,32796722,25188325,34337171,26818658,35203426,31355153,30347620,10781099,15983050,16027166,16091362,18440095,18524908,19114711,19748705,20036644,21752865,22170863,24026677,31083566,30459560,23456891,23418567,21873424,34416235,31191455,11771749,17893145,18973346,11914418,26063807,17509612,28393127,30235249,30384889,31227780,29186753,24908109,33299887,32053184,28566298,12616398,27626371,32918239,32070771,31403401,25594180,29590638,26934888,34849584,35921115,33752971,34040028,32331968,19432400,16528249,18452710,24098404,31101113,20003521,33918228,33255149,24732964,33490244,35600141,32183175,32742246,31191748,29900121,28975734,32737368,31080378,31635106,22930593,31982271,10430027,31168311,27053151,23842751,27761515,31797905,32333447,29235198,26072516,23422076,32543048,28934368,34549988,31819004,25479903,22070747,18760763,9858242,23348515,26300302,29954941,31799625,33260872,34200738,11840567,25678563,28249764,26823915,33269646,29724888,32596266,18575609,29702669,32471444,27412694,26305539,16162498,20200153,23000143,25281006,23001565,15378761,16107839,27257648,35215189,25555378,25141105,33597172,21825280,26465331,19132089,25545414,29176891,32295617,32628683,34466438,34063994,28972996,29228011,27809902,30815000,32111039,35445918,33492732,32196615,25918244,33885378,25929241,28367977,25907681,34238312,32636874,25278503,35809345,32185676,25793542,22450240,29036266,22166015,24056278,11877442,21850687,28828729,29518406,19064914,20649472,25204677,34208049,33889951,15225554,29554571,18271751,33547280,32882370,18633122,32817651,32817722,27822460,32435206,34955646,29117212,25663750,27911326,35811673,19039140,17997606"
mitochondrial                         ,   23 ,      3.27 ,     153 ,      420 ,"28366030,17060615,3141400,12644575,32972993,12611891,1417830,15265369,1900003,1928099,2018041,7733935,8104867,12111463,1712754,1959619,1989603,1996112,7219534,7219535,9878551,26929434,24417559,24800637,19487983,1850322,33060577,10611383,28332713,12837548,29580769,33768254,25853266,19754951,27672209,31986467,18614564,32241204,30197913,26298201,34311469,11454754,28981788,15220430,35749873,35644505,32239379,29525604,35416576,35271667,30655546,35203426,35892672,12082633,12442332,31083566,31133884,10852722,1518044,11181577,12616398,19107570,27626371,31206022,1900194,9463323,23073781,32918239,34384932,32070771,18396137,31403401,25594180,29590638,31408947,31391270,29540307,26934888,34849584,33752971,34040028,32331968,31888678,26668058,33240452,18802457,31234227,28321488,1459448,3521891,31168311,27761515,28934368,31827252,20688971,31819004,21464306,20877624,16251277,33307066,2915978,24718052,2369125,14643893,19731322,21252495,2050125,7592562,33067979,35637209,32493433,16534748,26528317,26465331,34938367,30659190,22912857,31197210,34238312,23315540,28892042,25278503,12913160,29036266,15750338,17707404,19462976,21850687,31740833,29427714,28529127,27393003,21562855,20807727,25906064,8089078,10713147,33889951,23722165,10681558,24424024,8344960,12529539,32817651,32435206,27265872,23263864,15722347,17098851,22730406,12692332,14730085,18325611"
patient                               ,   30 ,      4.77 ,     180 ,      366 ,"11063735,15941723,20031617,21062920,29034528,30479852,31425889,15265369,7733935,8104867,12111463,1712754,1959619,1996112,9878551,24417559,24456990,24800637,20801516,19487983,31986467,34311469,27302160,26487969,29849043,31173497,35303522,35474406,15846561,18728160,19956411,20396904,22577225,22715480,34791963,30797919,30928384,34559577,32549762,32838760,31845906,32347797,27760456,26836061,31646562,29145165,25954033,10086381,31938151,33726573,10728394,12952927,19480240,27355534,34016745,31576248,33905521,34573275,32112990,33850810,29547667,29254211,19458327,26191006,9341872,26030138,34324523,32468006,32332923,28409330,33039146,26831658,26783066,33153214,29557391,35203426,10391242,14656991,18440095,21873424,27380244,21509594,11771749,18973346,25736597,32549918,11914418,14557581,21339484,17509612,24001019,28393127,30235249,30384889,31227780,33299887,22968445,10944442,11181577,15975579,19107570,19364667,11940698,9463323,32918239,29590638,34849584,33240452,3500230,33356743,15557202,33686397,18754322,26702755,32319572,30787051,28179017,32742246,30988666,24188528,23079573,29439554,33888601,35122182,31694235,31080378,22279524,22930593,31982271,28632987,20381070,27470985,31797905,32333447,26072516,23422076,33228777,20877624,20074381,17975826,10577279,19731322,21252495,21309041,21653323,9858242,33260872,25678563,26823915,32596266,33517344,31227231,15378761,8422275,27110489,25141105,33597172,32817453,26438063,24736735,34001441,27228164,28972996,30659190,34491544,32196615,33794982,33885378,28666451,23315540,34130124,21850687,33889951,29554571,31654781,34273022,32420127,27822460,27573699,34955646"
growth                                ,   30 ,      5.03 ,     216 ,      360 ,"22152112,12792025,28332713,25853266,19754951,36014946,31995605,11454754,28877183,12819782,19131329,19622630,28077931,35970861,35474406,19956411,20396904,30928384,22508046,25281935,34559577,32549762,32838760,32277752,12145306,18498429,32239379,30551440,31646562,29145165,17239227,32951317,26685160,24503594,31217244,16341127,11162633,18306214,21049064,15146458,33916053,12413904,24731717,21120994,16540541,34016745,26801685,33905521,32112990,32210829,26158506,10847580,19439179,26030138,32116744,32796906,25326457,16109377,24515107,27666310,26783066,20100936,8849678,26991250,28533755,12082633,24608635,31943339,32077747,10875629,14738879,25547487,12221279,32549918,33871019,32918239,18396137,18802457,7694679,3670309,16677835,24623079,33686397,19296525,16237720,20003521,24732964,23308156,32319572,33349268,31781249,33888601,29157910,24676454,12941645,35585045,35122182,14562106,27470985,32543048,30005605,21044876,7928952,35158652,30189641,23666536,33626217,32269553,21602352,30143697,9528767,32296580,32243451,33174841,20890123,18575609,26305539,19188440,19815555,23000143,18585351,33050986,26522729,23008267,16901746,10095118,17560550,28685837,33610896,24140707,33083141,18973667,22206011,20003296,23450745,33597172,21825280,30356767,26528317,26195524,26687036,22059956,33688012,20547565,29034959,35817801,30815000,12826663,17289661,10684936,35614067,33693959,33794982,25741220,25965334,11229364,25793542,17141802,9497357,17519234,20919932,28231391,20649472,29055282,18990192,17409354,22313238,29554571,1383159,10681558,18271751,9888818,8344960,20176891,23291769,17360499,18067580,33547280,15377278,14622290,19546244,1903841,2852136,3062365,16157662,16408210,3119589,8307948,8314769,9582285,15003625,16600425,20492553,21173025,17513484,18633122,24163315,34273022,34947982,11976098,23716598,31031728,33592076,34039408,29436819,33255918,29955171,25663750,29879216,27379139,33271965,22730406,35265054,18325611,25812137,18248177"
membrane                              ,   28 ,      3.82 ,     179 ,      334 ,"30479852,9887343,26403541,22152112,35681892,25209663,17060615,12644575,1959619,9878551,11054105,12792025,15168611,33768254,27672209,32241204,31995605,26298201,34311469,15220430,27097562,24823948,11430900,16420440,19188438,19224982,28002843,19206110,19102727,12754519,14749213,24940773,32860793,26191006,24284412,12522145,34810232,19524571,20059949,24794231,22184064,25188325,29546593,29715315,30185885,28468944,26744461,33017189,18213612,15699139,16244660,16244664,16271702,14668352,22837305,21503958,11790253,20945367,17873332,12442332,18097506,15983050,16027166,19114711,19748705,21752865,24026677,31083566,26792178,23456891,17892558,30890756,34416235,17893145,18973346,9653196,12221279,11906164,11535622,12135771,12729900,10949023,19095005,21339484,10891348,17509612,20095964,24001019,28393127,31227780,31904168,31506724,14559359,16809425,17904530,35053257,31337710,31315980,23148318,28473402,32053184,33871019,10852722,8603710,11181577,27626371,31206022,31391270,30289745,35921115,18802457,16237720,33255149,11932413,24188528,35370544,29439554,32916630,26082896,33569461,33731672,19864425,34549988,31819004,25693797,24718052,2369125,10577279,14643893,20087844,33067979,7928952,28193846,32471444,10593949,18222016,12782322,16534748,19824013,32448582,33083141,25555378,34071222,31835328,25545414,34466438,34063994,29890774,29342075,30815000,12826663,30357511,26496923,23306908,26880549,19665017,22025680,34938367,30659190,25278503,29804005,20144717,20919932,29036266,15750338,29427714,20356456,12084836,8660923,22834699,27265872,23263864,15722347,17098851,22730406,12692332,27911326,18325611,35811673"
rat                                   ,   28 ,      4.17 ,     158 ,      303 ,"34357055,27213757,20801516,32241204,31995605,30197913,26298201,33679438,22577081,23116197,28293639,19609968,11906214,35303522,19414065,26985665,24042587,27760456,21503878,29901112,31638262,9473664,10400610,7937870,10913355,11162633,18306214,12438741,31191638,31552903,32873862,25046226,9178261,23200852,21120994,16540541,12815282,12960062,12063187,12952927,31576248,32112990,15505029,15489334,8798450,9457675,14749213,26191006,34810232,19253283,22215678,33600051,28241067,26220330,35271667,32796722,26515131,18097506,23456891,34416235,29476059,34299332,22757692,10875629,12944371,2158525,22927069,31506724,23148318,31133884,28566298,22404946,29540307,26934888,2351831,3500230,3670309,6954532,16528249,18452710,17567946,17888914,23807296,24710523,22860605,21149303,35370544,34199160,24552547,33764077,31635106,29453425,28315483,26581954,19864425,16449382,27761515,32543048,35268596,3182776,3356687,26605136,2369125,8407861,21600186,30450874,28324005,32471444,17118580,16901746,21814176,30553726,34071222,32628683,33513391,32098812,29034959,35817801,12826663,30659190,26861137,35075790,27756895,31536826,35614067,24204595,10025941,10731722,29804005,28391163,28391978,20144717,17329258,23618867,10535922,17974571,30655626,22166015,28529127,27393003,20807727,17556052,15099742,22313238,8344960,12529539,18606156,19006180,3119589,9582285,32817722,27822460,31906791,22730406,33083121,15562318,31272713,16189181"
phosphorylation                       ,   29 ,      2.99 ,     138 ,      264 ,"12373648,12802069,29959233,34357055,28366030,25209663,1712754,12792025,15168611,16645307,36014946,32272486,18614564,31995605,26298201,34311469,23159739,29440302,18056716,19393622,17178712,15287743,15642345,16341127,8601433,10692581,16420440,35416576,31823891,24284412,9756848,10931916,11514619,17537995,17965020,19439179,20932480,9409622,23793017,16245309,11713533,12037672,9499409,19883659,10329125,16109376,20059949,24794231,27821587,22184064,33039146,26783066,27203244,26305884,32098961,33153214,33140506,7588787,8849678,26991250,28533755,30655546,26744461,33017189,22837305,28176357,26515131,22757692,11771749,2845422,2158525,21164013,18973346,11279279,28613156,23781026,12221279,30626720,20095964,29581457,8603710,11181577,19107570,19364667,11940698,9463323,23073781,34849584,31888678,33240452,32319572,24854554,24188528,35395531,34199160,31234227,28900183,23076791,32543048,20688971,31819004,22070747,16564677,24027268,29724888,14640981,18000335,23008267,18222016,23184662,24648518,21394738,18413715,22987813,18065650,29228011,23306908,19665017,34938367,30659190,26861137,21123651,19384857,34110282,25741220,31197210,28367977,34238312,25838379,9388242,19812042,11986303,21850687,14586471,21750984,20018887,11971985,23508108"
mouse                                 ,   28 ,      4.31 ,     171 ,      263 ,"26403541,27907124,12060739,27302160,32144752,25105228,7893604,14645121,16611693,7898305,8619954,31968244,8643671,32838760,26985665,27097562,33896883,33963285,32631829,21086490,15672396,12895028,35220830,27760456,18322277,32239379,26512061,21270050,15456894,12620122,29745813,25815730,23747543,32951317,35681437,35909540,26685160,8601433,21636789,32231671,11430900,14964690,35416576,32959027,31823891,9178261,12960062,27355534,28002843,17473173,15505029,24733397,25627686,12407145,26394147,15489334,17081065,9457675,12558975,28270566,16239143,16641145,15140795,32286661,9001221,21680841,33771997,19364821,10329126,27203244,28241067,29557391,26818658,26991250,28468944,17873332,14656991,18440095,18524908,22170863,30459560,26792178,23456891,17892558,21873424,34416235,32077747,2845422,30626720,18927152,12135771,10949023,26063807,10891348,20095964,28393127,14559359,32918239,32070771,31403401,34849584,35921115,33752971,34040028,32331968,31888678,26668058,2351831,2915977,6954532,24623079,18754322,29925238,33888601,34199160,32916630,23665500,35585045,29530978,33569461,33731672,27053151,31797905,24169046,21044876,20015225,3557128,17936691,24821812,25678563,33174841,25418729,35455958,33269646,24658151,33276377,23353889,9271389,24250814,9334261,9990006,16139798,16525935,27634466,33597172,22059956,22862948,12826663,30357511,26496923,23306908,26880549,22025680,32111039,35075790,26289635,11336498,16033648,9674995,10684936,11229364,23618867,12080185,8188254,21776009,7733872,10704594,15377278,9590696,9111344,17997606"
